Způsob_koupě,Typ_obydlení,Počet_pokojů,Typ_kuchyně,Velikost_bytu,Cena,Ulice,Kraj
pronájem,bytu,2,k,52,22000,"Stroupežnického, Praha 5 - Smíchov",1
pronájem,bytu,1,k,27,19500,"Španělská, Praha 2 - Vinohrady, okres Praha",1
pronájem,bytu,2,k,50,24200,"Lucemburská, Praha 3 - Vinohrady, okres Praha",1
pronájem,bytu,1,k,39,22800,"náměstí Jiřího z Poděbrad, Praha 3 - Vinohrady, okres Praha",1
pronájem,bytu,2,1,48,17000,"Orelská, Praha 10 - Vršovice, okres Praha",1
pronájem,bytu,5,k,120,39900,"Na Vidouli, Praha 5 - Jinonice",1
pronájem,bytu,2,1,66,25000,"Za Poříčskou bránou, Praha 8 - Karlín, okres Praha",1
pronájem,bytu,1,k,39,23494,"náměstí Jiřího z Poděbrad, Praha 2 - Vinohrady",1
pronájem,bytu,2,k,86,30000,"Lipenská, Praha 4 - Šeberov",1
pronájem,bytu,3,k,79,30000,"Lipenská, Praha 4 - Šeberov",1
pronájem,bytu,4,1,160,60000,"Smetanovo nábřeží, Praha 1 - Staré Město",1
pronájem,bytu,2,k,50,23500,"Karla Engliše, Praha 5 - Smíchov",1
pronájem,bytu,5,k,142,50000,"Smetanovo nábřeží, Praha 1 - Staré Město",1
pronájem,bytu,2,1,59,19500,"Přetlucká, Praha 10 - Strašnice",1
pronájem,bytu,2,k,45,16900,"Voskovcova, Praha 5 - Hlubočepy",1
pronájem,bytu,2,k,36,13190,"Českobrodská, Praha 9 - Hrdlořezy",1
pronájem,bytu,3,1,100,35000,"Na Smetance, Praha 2 - Vinohrady",1
pronájem,bytu,3,1,86,41000,"Tržiště, Praha 1 - Malá Strana",1
pronájem,bytu,1,k,33,12000,"Křížová, Praha 5 - Smíchov",1
pronájem,bytu,1,k,20,11300,"Horolezecká, Praha 10 - Hostivař",1
pronájem,bytu,3,k,80,30000,"Krkonošská, Praha 2 - Vinohrady",1
pronájem,bytu,2,k,45,18000,"Kozí, Praha 1 - Staré Město",1
pronájem,bytu,2,k,61,21000,"Kolbenova, Praha 9 - Hloubětín",1
pronájem,bytu,2,1,62,21000,"Ruská, Praha 10 - Vršovice",1
pronájem,bytu,4,k,128,31000,"Na rozcestí, Praha 9 - Libeň",1
pronájem,bytu,2,k,50,21000,"Plzeňská, Praha 5 - Smíchov",1
pronájem,bytu,3,k,78,0,"Veronské nám., Praha 10 - Horní Měcholupy",1
pronájem,bytu,3,k,79,26000,"Symfonická, Praha 5 - Stodůlky",1
pronájem,bytu,1,k,28,13490,"Za valem, Praha 4 - Kunratice",1
pronájem,bytu,1,k,24,12900,"Jabloňová, Praha 10 - Záběhlice",1
pronájem,bytu,2,k,48,24000,"Terronská, Praha 6 - Bubeneč",1
pronájem,bytu,4,k,200,34000,"Chorošová, Praha 10 - Pitkovice",1
